Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
C10,0805,1,100n,
C11,0805,1,100n,
C12,0805,1,100n,
C13,0805,1,100n,
C14,0805,1,100n,
C15,0805,1,100n,
C16,0805,1,100n,
C17,0805,1,100n,
C18,0805,1,100n,
C19,0805,1,2.2u,
C2,0805,1,100n,
C21,0805,1,4.7u,
C22,0805,1,??,
C23,0805,1,??,
C24,0805,1,10u,
C25,0805,1,47p,
C26,0805,1,47p,
C27,0805,1,10u,
C28,0805,1,100n,
C29,0805,1,2.2u,
C3,0805,1,??,
C30,0805,1,10u,
C31,0805,1,4.7u,
C32,0805,1,100n,
C33,0805,1,47u,
C34,0805,1,100n,
C35,0805,1,10u,
C36,0805,1,2.2u,
C37,0805,1,100n,
C38,0805,1,10u,
C39,0805,1,4.7u,
C4,0805,1,??,
C40,0805,1,22u,
C41,0805,1,2.2u,
C42,0805,1,10u,
C43,0805,1,100n,
C44,0805,1,100n,
C45,0805,1,2.2n,
C46,0805,1,100n,
C47,0805,1,2.2n,
C48,0805,1,??,
C49,0805,1,47u,
C5,0805,1,100n,
C50,0805,1,4.7u,
C6,0805,1,2.2u,
C7,0805,1,100n,
C8,0805,1,2.2u,
C9,0805,1,100n,
D1,LED_D3.0mm_FlatTop,1,SYS_LED,
"D2, D4, D7",D_SOD-123,3,1N5819HW-7-F,
D3,LED_D3.0mm_FlatTop,1,CHRG_LED,
D5,D_SOD-123,1,1N4148W,
D6,D_SOD-123,1,MBR0520,
J1,PinHeader_1x06_P1.00mm_Vertical,1,PROG,
J10,PinHeader_1x02_P1.00mm_Vertical,1,SPKR,
J11,3.5 Jack,1,AudioJack,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J3,PinHeader_2x08_P1.00mm_Vertical,1,KEYBOARD,
"J4, J7",PinHeader_2x05_P1.00mm_Vertical_SMD,2,Conn_02x05_Top_Bottom,
J5,PinHeader_1x02_P1.00mm_Horizontal,1,BATT,
J6,PinHeader_2x11_P1.00mm_Horizontal,1,HINGE,
J8,PinHeader_1x02_P1.00mm_Vertical,1,PWR_BTN,
J9,SD-Connector,1,Micro_SD_Card_Det,
L1,HCM1A4020V2,1,4.7uH,
L2,SDN0530MT100,1,10uH,
Q1,SOT-23,1,IRLML6302,
R1,0805,1,10k,
R10,0805,1,10k,
R11,0805,1,15k,
R12,0805,1,10k,
R13,0805,1,19K,
R14,0805,1,2k,
R15,0805,1,47k,
R16,0805,1,47k,
R17,0805,1,47k,
R18,0805,1,47k,
R19,0805,1,47k,
R2,0805,1,10k,
R20,0805,1,placeholder,
R21,0805,1,47k,
R22,0805,1,680K,
R23,0805,1,150K,
R24,0805,1,470,
R25,0805,1,470,
R26,0805,1,13k3,
R27,0805,1,40k2,
R28,0805,1,5.2k,
R29,0805,1,5.2k,
R3,0805,1,15K,
R30,0805,1,0,
R4,0805,1,10k,
R5,0805,1,15K,
R6,0805,1,220,
R7,0805,1,27,
R8,0805,1,27R,
R9,0805,1,470,
SW1,SW_SPST_B3S-1000,1,RESET,
TP1,TestPoint_Pad_D1.0mm,1,VREFF,
TP2,TestPoint_Pad_D1.0mm,1,TP_VUSB,
TP3,TestPoint_Pad_D1.0mm,1,VBATT,
TP4,TestPoint_Pad_D1.0mm,1,3.3V,
TP5,TestPoint_Pad_D1.0mm,1,5V,
U10,LQFP-144_20x20mm_P0.5mm,1,STM32H743ZITx,
U2,TSOT-23,1,TLV431,
U3,TSOT-23-6_HandSoldering,1,USBLC6,
U4,SOT-23-5_HandSoldering,1,AP22802AW5-7,
U5,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,
U6,SOT-23-5_HandSoldering,1,MCP73831-2-OT,
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102,
U8,TSOT-23-5_HandSoldering,1,NCP1529,
U9,SOT-23-5_HandSoldering,1,LMR62014XMF,
Y1,SMDXT224,1,16Mhz,
Y2,32.768K-85SMXR,1,32.768,
